,State,year_month,counts,Census,counts per million
254,GA,2017-12,1989.0,10711908.0,18.568120637331837
255,GA,2018-01,2022.0,10711908.0,18.876189003863736
256,GA,2018-02,1944.0,10711908.0,18.14802741024288
257,GA,2018-03,2039.0,10711908.0,19.0348908896529
258,GA,2018-04,1904.0,10711908.0,17.77461120838603
259,GA,2018-05,1792.0,10711908.0,16.729045843186853
260,GA,2018-06,1922.0,10711908.0,17.942648499221615
261,GA,2018-07,1833.0,10711908.0,17.111797450090123
262,GA,2018-08,2403.0,10711908.0,22.432978326550227
263,GA,2018-09,1840.0,10711908.0,17.177145285415072
264,GA,2018-10,2377.0,10711908.0,22.190257795343275
265,GA,2018-11,2330.0,10711908.0,21.751493758161477
266,GA,2018-12,2201.0,10711908.0,20.54722650717314
267,GA,2019-01,2420.0,10711908.0,22.591680212339387
268,GA,2019-02,2260.0,10711908.0,21.09801540491199
269,GA,2019-03,2038.0,10711908.0,19.02555548460648
270,GA,2019-04,2196.0,10711908.0,20.500549481941032
271,GA,2019-05,2352.0,10711908.0,21.956872669182747
272,GA,2019-06,2026.0,10711908.0,18.91353062404942
273,GA,2019-07,1648.0,10711908.0,15.384747516502195
274,GA,2019-08,1915.0,10711908.0,17.877300663896666
275,GA,2019-09,1398.0,10711908.0,13.050896254896887
276,GA,2019-10,2059.0,10711908.0,19.22159899058132
277,GA,2019-11,1562.0,10711908.0,14.58190268250997
278,GA,2019-12,1837.0,10711908.0,17.149139070275808
293,SC,2016-05,0.0,5118425.0,0.0
294,SC,2016-06,179.0,5118425.0,3.4971695394579383
295,SC,2016-07,350.0,5118425.0,6.838040998940103
296,SC,2016-08,491.0,5118425.0,9.592794658513117
297,SC,2016-09,513.0,5118425.0,10.022614378446494
298,SC,2016-10,464.0,5118425.0,9.065288638594879
299,SC,2016-11,527.0,5118425.0,10.296136018404098
300,SC,2016-12,491.0,5118425.0,9.592794658513117
301,SC,2017-01,501.0,5118425.0,9.788167258482835
302,SC,2017-02,520.0,5118425.0,10.159375198425296
303,SC,2017-03,562.0,5118425.0,10.97994011829811
304,SC,2017-04,463.0,5118425.0,9.045751378597908
305,SC,2017-05,386.0,5118425.0,7.541382358831086
306,SC,2017-06,460.0,5118425.0,8.987139598606994
307,SC,2017-07,741.0,5118425.0,14.47710965775605
308,SC,2017-08,5283.0,5118425.0,103.21534456400163
309,SC,2017-09,4707.0,5118425.0,91.9618828057459
310,SC,2017-10,5283.0,5118425.0,103.21534456400163
311,SC,2017-11,5100.0,5118425.0,99.64002598455579
312,SC,2017-12,4324.0,5118425.0,84.47911222690574
313,SC,2018-01,5154.0,5118425.0,100.69503802439226
314,SC,2018-02,5168.0,5118425.0,100.96855966434987
315,SC,2018-03,5471.0,5118425.0,106.8883494434323
316,SC,2018-04,5394.0,5118425.0,105.38398042366549
317,SC,2018-05,5991.0,5118425.0,117.0477246418576
318,SC,2018-06,3960.0,5118425.0,77.36754958800803
319,SC,2018-07,4073.0,5118425.0,79.57525996766583
320,SC,2018-08,4109.0,5118425.0,80.27860132755681
321,SC,2018-09,3606.0,5118425.0,70.45135954908004
322,SC,2018-10,5064.0,5118425.0,98.9366846246648
323,SC,2018-11,4283.0,5118425.0,83.6780845670299
324,SC,2018-12,4081.0,5118425.0,79.73155804764161
325,SC,2019-01,4387.0,5118425.0,85.70995960671496
326,SC,2019-02,3654.0,5118425.0,71.38914802893468
327,SC,2019-03,4142.0,5118425.0,80.92333090745689
328,SC,2019-04,4827.0,5118425.0,94.30635400538252
329,SC,2019-05,4974.0,5118425.0,97.17833122493735
330,SC,2019-06,4449.0,5118425.0,86.9212697265272
331,SC,2019-07,4776.0,5118425.0,93.30995374553696
332,SC,2019-08,4892.0,5118425.0,95.57627590518568
333,SC,2019-09,5028.0,5118425.0,98.23334326477384
334,SC,2019-10,6199.0,5118425.0,121.11147472122772
335,SC,2019-11,5897.0,5118425.0,115.21122220214225
336,SC,2019-12,5769.0,5118425.0,112.71045292252988
351,NE,2016-05,578.0,1961504.0,29.467184364650798
352,NE,2016-06,699.0,1961504.0,35.63592019185278
353,NE,2016-07,505.0,1961504.0,25.74555035319836
354,NE,2016-08,741.0,1961504.0,37.77713428063364
355,NE,2016-09,700.0,1961504.0,35.6869014796809
356,NE,2016-10,702.0,1961504.0,35.78886405533713
357,NE,2016-11,626.0,1961504.0,31.914286180400346
358,NE,2016-12,559.0,1961504.0,28.4985398959166
359,NE,2017-01,551.0,1961504.0,28.090689593291675
360,NE,2017-02,536.0,1961504.0,27.325970275869945
361,NE,2017-03,492.0,1961504.0,25.08279361143286
